accession	severity	column	current_value	defect	evidence_quote
PXD049057	important	characteristics[organism part]	heart	All 12 deposited runs are secretome (conditioned media) from cultured fibroblasts, not myocardial tissue. Annotating them as organism part 'heart' with no cell type or material type presents cell-culture supernatant as heart tissue.	Proteomic analysis was performed on the conditioned media (supernatant) from Control (WT) and Smad7KO (S7) fibroblasts after 24 hours
PXD049301	minor	characteristics[organism part]	heart	The protocol specifies the myocardial apex obtained at autopsy; 'heart' is correct but less precise than the evidence supports.	Amyloid fibrils were extracted from myocardial tissue (apex) obtained during autopsy examination.
PXD049426	important	characteristics[cell type]	regular cardiac myocyte	'regular cardiac myocyte' is asserted on all 242 rows but comes only from the PRIDE organism-part dropdown; the title, description and sample protocol describe a mild native complex extraction from mouse heart followed by Blue Native gel fractionation, with no cardiomyocyte isolation or purification step anywhere. The material is heart tissue extract, not a purified cardiomyocyte population.	mini-Complexome Profiling, an FDR-controlled workflow for global targeted Detection of protein complexes (Heart Data)
PXD050458	minor	characteristics[organism part]	heart	every sample is specifically left ventricular myocardium, not whole heart; 'heart' is imprecise for all 10 rows	hearts were dissected, and left ventricles (LV) were collected
PXD050610	minor	characteristics[developmental stage]	adult	'adult' is asserted on all 25 rows, but the younger cohort starts at 14 years of age, so at least some donors are adolescents rather than adults	The younger cohort's age ranges from 14 to 25 years old
PXD050610	minor	characteristics[organism part]	heart	all samples are left ventricular myocardium; 'heart' is imprecise	Untargeted proteomic analysis was performed on human left ventricle (LV) myocardial tissue samples
PXD050994	minor	characteristics[organism part]	heart	all samples are left ventricular myocardium; 'heart' is imprecise for all 18 rows	Frozen left ventricular heart tissue samples were placed into precooled tubes and cryopulverized
PXD051582	minor	characteristics[organism part]	heart	every one of the 24 rows is right ventricular free-wall myocardium, not whole heart	the right ventricle was excised and snap frozen in liquid nitrogen
PXD051715	important	PRIDE_DISEASES	cardiovascular system disease	the PRIDE dropdown carries the registry bucket 'cardiovascular system disease' (DOID:1287); this is not a diagnosis and must not be copied into characteristics[disease]. The current SDRF value 'not available' is the safe state.	Here, we show that aged mice, when subjected to chronic metabolic and hypertensive stress (2-hit stress), develop an aggravated cardiometabolic HFpEF phenotype compared to younger counterparts.
PXD051845	minor	characteristics[disease]	normal	'normal' is asserted on all 3 rows but nothing in the title, description or protocol states the animals' health status; this is a comparative-evolution study of TNNI3 exon 3 in wild-type bats and shrews, so 'normal' is plausible but not evidenced	We further reveal alternative splicing of TNNI3 exon 3 in distantly related bat families with both cTnI isoforms being incorporated into cardiac myofibrils.
PXD052071	important	characteristics[disease]	atherosclerosis	'atherosclerosis' is asserted on all 95 rows, but the deposit is 94 left anterior descending coronary arteries collected at autopsy from deceased patients to study post-mortem interval effects; no text states that every artery was atherosclerotic (the value comes from the submitter-entered PRIDE disease field)	In the current study, 94 human left anterior descending (LAD) coronary artery were collected from deceased patients.
PXD052932	minor	characteristics[disease]	normal	'normal' is asserted on all 108 rows, but nothing in the title, description or sample protocol states the donor dogs were healthy or disease-free. It is a reasonable inference for a reference PeptideAtlas but it is not evidenced by the deposit text.	We report a mass spectrometry-based proteomics approach analyzing canine tissue, plasma and urine to develop two comprehensive resources to advance the study of the dog proteome.
PXD052976	minor	characteristics[organism part]	heart	The sample protocol specifies heart septum (interventricular septum), so 'heart' is correct but imprecise; a more specific organism part would be better supported.	Frozen rat heart septum samples kept at -80
PXD053037	minor	characteristics[organism part]	heart	The material is isolated left-ventricular myocytes rather than whole heart; the SDRF has no cell type column at all, so the cellular nature of the material is not recorded anywhere.	Left ventricular myocytes of five mice one and four weeks post-sham vs. post-TAC surgery were isolated as described above
PXD054079	important	characteristics[organism part]	Ventricular cardiac muscle cell	A cell-type term (CL:2000046 ventricular cardiac muscle cell, copied from the PRIDE organism-parts dropdown) is used as the organism part, but the material is bulk pulverized ventricular tissue, not isolated cardiomyocytes. factor value[organism part] carries the same wrong term.	Burmese Python heart tissue samples were reduced and alkylated with the addition of 10 mM tris(2-carboxyethylphosphine) (TCEP)
PXD054079	minor	characteristics[organism part]	Ventricular cardiac muscle cell	Value is also capitalised in sentence case rather than the lowercase ontology label form used elsewhere in the collection.	characteristics[organism part]: 'Ventricular cardiac muscle cell'x2
PXD056037	blocker	characteristics[disease]	TANGO2 dysfunction	'TANGO2 dysfunction' is asserted on all 63 rows, but the deposit's own factor value[phenotype] column identifies 32 rows as controls (NCD normal x14, HFD normal x13, normal x5). Roughly half the deposit is wild-type/control material carrying a false genotype-disease claim, including the human Cal51 control rows.	factor value[phenotype]: 'HFD TANGO2'x14; 'NCD normal'x14; 'HFD normal'x13; 'NCD TANGO2'x12; 'normal'x5; 'TANGO2'x5
PXD056037	important	characteristics[sex]	male	'male' is asserted on all 53 mouse rows, but nothing in the title, description, sample-processing protocol or PRIDE fields states the sex of the mice.	To investigate the function of TANGO2, we knocked out the TANGO2 gene in human cells and mice.
PXD056037	important	characteristics[disease]	TANGO2 dysfunction	The Cal51 rows are a human breast-carcinoma cell line; annotating them with 'TANGO2 dysfunction' as the disease loses the fact that the underlying line is a cancer line, and applies the genotype label even to the untargeted parental controls.	characteristics[cell line]: 'not applicable'x53; 'Cal51'x10
PXD056556	important	characteristics[developmental stage]	not applicable	material is neonatal rat ventricular myocyte primary culture, so the stage is neonate, not 'not applicable'; the value is set on all 144 rows	This study assessed the impact of ROR2 expression on the global proteome using neonatal rat ventricular myocytes (NRVMs)
PXD056556	minor	characteristics[organism part]	heart	cells are ventricular myocytes; 'heart ventricle' would be the accurate part, 'heart' is only imprecise, not wrong	This study assessed the impact of ROR2 expression on the global proteome using neonatal rat ventricular myocytes (NRVMs)
PXD057325	minor	characteristics[organism part]	heart	every sample is left ventricle only, not whole heart	After ~10 weeks of treatment, mice were euthanised and the LV was collected, perfused, snap-frozen, and cryogenically ground.
PXD057532	minor	PRIDE_DISEASES	cardiovascular system disease	registry bucket only; the deposit contains a healthy standard-diet control group, so no disease value applies to all rows	As a control group, we used black 6 mice receiving a standard diet (Black6 SD).
PXD058012	minor	characteristics[organism part]	Heart ventricle	the material is specifically left ventricle free wall; 'Heart ventricle' is imprecise (and is capitalised unlike the rest of the file)	The left ventricle of each guinea pig heart was homogenized with a handheld Polytron tissue disrupter
PXD058012	minor	comment[sdrf template]	NT=dia-acquisition;VV=v1.1.0	deposit is 16-plex TMT acquired data-dependently, not DIA	'accession': 'PRIDE:0000627', 'name': 'Data-dependent acquisition'
PXD058165	minor	characteristics[organism part]	heart	only left ventricular tissue was harvested and processed	The left ventricular tissue was ground in liquid nitrogen to a fine powder.
PXD058185	minor	characteristics[biological replicate]	1	all 24 rows carry biological replicate '1' although the deposit is 12 biological samples measured in duplicate	Two technical replicates per biological replicate were acquired.
PXD058436	minor	characteristics[disease]	normal	the only support is that donors had no malignant disease; these are post-mortem autopsy donors, so 'normal' is broader than the evidence, though defensible for benign tissue	Subjects included in this study were not diagnosed with any malignant disease.
PXD058436	minor	characteristics[developmental stage]	adult	asserted on all 633 rows although neither the deposit nor the publication states donor age or developmental stage	Benign solid tissue samples for the benign MHCquant2 dataset were collected within
PXD059000	minor	characteristics[disease]	not available	all three samples are heart amyloid fibrils from transgenic mice with AL amyloidosis, so the disease is uniform and known	We identified the protein in purified AL amyloid fibrils extracted from heart tissues from transgenic mice developing AL amyloidosis.
PXD060084	minor	characteristics[enrichment process]	absent	the 62 runs mix whole-proteome injections with IMAC phosphopeptide-enriched injections but no enrichment column distinguishes them	Five percent of each peptide sample was used for whole proteome analysis, while the remainder was used for phosphopeptide enrichment via Immobilized Metal Affinity Chromatography (IMAC).
PXD060259	blocker	characteristics[disease]	myocardial infarction	asserted on all 30 rows, but the source names show these are co-immunoprecipitation samples (WT/KO x anti-Dysferlin/IgG x +-Ca) and the sample-processing protocol describes them as plain LV myocardium from six WT and three KO mice with no mention of LAD ligation; the study also contains sham-operated animals	Left-ventricular myocardium from six wild-type and three KO mice, after washing using a modified Langendorff setup to remove myocardial blood as described above, were homogenized using a 1-D Ultra Turrax (Miccra).
PXD060259	important	characteristics[disease]	myocardial infarction	the design includes sham-operated controls, so a single disease value cannot hold for every deposited run	No ligation was applied to sham-treated animals.
PXD060259	minor	characteristics[biological replicate]	1/2/3 (10 rows each)	replicate numbering is a 10x3 block pattern that does not match the described 6 WT + 3 KO animals x 2 technical replicates	Left-ventricular myocardium from six wild-type and three KO mice, after washing using a modified Langendorff setup to remove myocardial blood as described above, were homogenized using a 1-D Ultra Turrax (Miccra).
PXD060307	minor	characteristics[treatment]	untreated	the control arm is not untreated but a defined 3% O2 normoxic incubation, and the source names call it 'normoxia'; 'untreated' understates the culture condition	In our model system, murine OPCs were plated for a duration of 24 h, under normoxic (3% O 2 ) and hyperoxic conditions (80% O 2 ), respectively.
PXD060417	important	characteristics[organism part]	Abdominal aorta aneurysm disease specific cell type	the submitter-entered BTO cell-type term was copied verbatim into organism part (and factor value) on all 9 rows; the material is bulk aneurysmal aortic wall tissue, not a cell type - organism part should be the abdominal aorta with the diagnosis carried in characteristics[disease]	we decided to focus only bulk thrombus‐resected aortic wall tissue
PXD060417	important	characteristics[disease]	not available	all nine runs come from abdominal aortic aneurysm patients, a uniform diagnosis that is left unannotated while the diagnosis is instead smuggled into organism part	Overall, this protocol was successfully applied to the characterization of the tissue proteome in patients presenting AAA, and its robustness and reproducibility in extracting and identifying proteins from this highly heterogeneous tissue were demonstrated.
PXD060431	blocker	characteristics[age] / characteristics[sex] / characteristics[ancestry category]	per-row values such as '61Y', '52Y', 'European ancestry', 'African ancestry', 'Latin or Admixed American ancestry'	the deposit and the paper report age, sex and race only as group-level statistics; no per-patient table exists in any evidence file, so these per-row values are unsupported and read as invented individual-level clinical data	Age ( P =0.54) and sex ( P =0.35) did not significantly differ between groups, and more patients with HFpEF self‐identified as Black race (60% versus 0%, P =0.
PXD060431	blocker	characteristics[disease]	systolic heart failure (10 rows)	this deposit contains HFpEF and non-failing control myocardium only; the HFrEF (systolic heart failure) proteomes were re-used from a previously published study and are not described as deposited here	Previously reported myocardial proteomic data from end-stage HFrEF and controls were also used.
PXD060431	important	row count / characteristics[individual]	30 rows in a 10/10/10 block with 8 synthetic individual IDs	the described experiment is DDA (n=10 HFpEF, n=9-10 controls) plus DIA (n=44-46 HFpEF, n=5 controls); a 30-row 10/10/10 layout with 8 individuals matches no arm of the study	Previously reported myocardial proteomic data from end-stage HFrEF and controls were also used.
PXD060431	minor	characteristics[organism part]	interventricular septum	both arms are specified as right ventricular septum endomyocardium; 'heart right ventricle' or 'interventricular septum' should at least be reconciled with the RV-side biopsy	Endomyocardial tissue from the right ventricular septum was obtained by a standard clinical bioptome (Jawz Bioptome, Argon Medical, Frisco, TX) in patients with HFpEF as described8.
PXD061501	minor	characteristics[organism part]	heart	'heart' is not wrong but loses the atria/ventricle split that defines half of the samples; a per-file region mapping would be needed to refine it	Proteins were isolated from two different heart regions.
PXD061501	minor	characteristics[biological replicate]	1 (all 244 rows)	64 animals in 8 diet/sex groups are collapsed onto a single biological replicate value, so replicate structure is lost	Animals were randomly divided into four groups for each gender (n=8) and fed for 15 weeks as follows: 1) normal chow diet with 10% fat (NC), 2) high fat with 60% fat (HF), 3) NC with L (120 μg/die, NCL), and 4) HF with L (120 μg/die, HFL) (Charles River Laboratories).
PXD061589	minor	characteristics[organism part]	heart	the material is specifically excised cardiac wound sites (and sham-site myocardium), not whole heart; acceptable as a parent term but imprecise	The hearts were damaged using a cryoprobe and wound sites were sampled at 3-, 14-, 30- and 100-days post injury (dpi).
PXD061609	important	characteristics[strain or breed]	C57BL/6J (all 1296 rows)	no strain is stated anywhere in the PRIDE record (title, description, sample protocol, sample attributes) and there is no linked publication; the value is unsupported by any evidence file	Here, we use sample multiplexing to profile the proteomes of ten diverse mouse tissues using TMTpro-based quantitative mass spectrometry.
PXD061609	minor	characteristics[organism part]	8 tissues (brain, brown adipose, heart, kidney, liver, lung, skeletal muscle, spleen)	the deposit describes ten tissues including ovaries and testes; the SDRF covers only eight, so either two tissues' runs are missing from the SDRF or the description overstates the deposit	enabled the quantification of over 13,000 proteins across brain, brown fat, heart, kidney, liver, lung, skeletal muscle, spleen, ovaries, and testes.
PXD061609	minor	characteristics[disease]	normal (all rows)	no health status is stated anywhere; 'normal' is a reasonable default for a baseline tissue atlas but is an assumption, not evidence	Here, we use sample multiplexing to profile the proteomes of ten diverse mouse tissues using TMTpro-based quantitative mass spectrometry.
PXD061636	minor	comment[technical replicate] / characteristics[biological replicate]	biological replicate '1' on all 12 rows	correct in substance - the paper states one sample per matrix was aliquoted into technical replicates - but the technical-replicate numbering should reflect that the 12 runs are aliquots of a single mouse heart	One should note that these repeatability tests are made on a single sample per matrix, aliquoted in several technical replicates, which means that there is no biological variation, as one would see in a cohort of samples.
PXD061882	minor	characteristics[disease]	not available	correctly left blank - flagging so it is not later filled from the title; the JMML/Noonan syndrome context in the title and keywords applies to hematopoietic experiments, not to these cardiac immunoprecipitates	Activating mutations of Src homology-2 domain-containing protein tyrosine phosphatase-2 (Shp2) cause multiple childhood conditions for which there is an unmet therapeutic need, including juvenile myelomonocytic leukemia (JMML) and Noonan syndrome.
PXD061882	minor	characteristics[biological replicate]	1 (all 56 rows)	56 runs are 8 gel lanes (4 control + 4 treated hearts) x 7 gel slices; biological replicate and fraction identifier should encode that structure	Cardiac immunoprecipitates from four vehicle-control or four SFN-treated hearts were separated on a single 10% SDS-PAGE gel prepared the day before to minimise contamination with unreacted acrylamide.
PXD062798	blocker	characteristics[organism part]	Cardiac muscle cell	the material is iPSC-derived 3D heart valve tissue matching the valve interstitial cell profile, not cardiac muscle; 'Cardiac muscle cell' is also a cell-type term wrongly placed in the organism part column (and repeated in factor value[organism part])	Here, we develop a protocol to generate 3-dimensional human heart valve tissues from pluripotent stem cells with enhanced maturational properties closely mirroring the valve interstitial cell and extracellular matrix profile of native heart valves.
PXD062798	important	characteristics[disease] / material type	disease 'not available', no material type column	the deposit is bioengineered iPSC-derived tissue, not primary human tissue, and the six runs split into CTRL and RHD arms; annotating it as plain human cardiac material would misrepresent both the material class and the design	For example, treatment with inflammatory cytokines augmented tissue passive tension and upregulated molecular markers associated with valve calcification and fibrosis.
PXD064045	important	characteristics[genotype]	'Chchd10 +/+'x10; 'Chchd10 S55L/+'x10	The deposit title declares FOUR genotypes (WT, Chchd10 S55L, Oma1 E324A, and the Chchd10 S55L/Oma1 E324A double mutant), but the SDRF encodes only two arms and never records the Oma1 allele. The 20 rows are therefore collapsed onto a two-group design the deposit does not have, and the accompanying 10/10 disease split is an invented assignment.	Heart mitochondrial proteome of Chchd10(S55L), Oma1(E324A), Chchd10(S55L)/Oma1(E324A) and WT
PXD064045	important	characteristics[disease]	'normal'x10; 'cardiomyopathy'x10	A 50/50 disease split is asserted although the deposit has four genotype arms, and the paper explicitly states OMA1 inactivation delays cardiomyopathy, so the double-mutant arm is not simply 'cardiomyopathy'. No run-to-genotype key exists in the bundle to support any per-row assignment.	Genetic inactivation of OMA1 delays cardiomyopathy without rescuing CHCHD10 insolubility, proteomic remodeling, cristae defects or OXPHOS impairment
PXD064045	minor	characteristics[material type]	'tissue'x20	The digested material is isolated cardiac mitochondria, not bulk heart tissue; 'tissue' loses the subcellular enrichment step.	20 µg mitochondria were subjected for trypsin digestion.
PXD064045	minor	characteristics[developmental stage]	'adult'x20	No age or life-stage statement appears anywhere in the bundle (title, description, protocol, PRIDE fields); 'adult' is plausible for this model but is not evidenced here.	PRIDE_KEYWORDS: ['Mouse', 'Solubilisation', 'Mitochondria']
PXD064057	minor	characteristics[material type]	'tissue'x30	Rows are Triton X-100 soluble / insoluble / total fractions of ISOLATED cardiac mitochondria, not bulk heart tissue. 'tissue' obscures a subcellular fractionation that is the entire point of the deposit (the fraction is only recorded free-text in characteristics[phenotype]).	To obtain soluble and insoluble mitochondrial protein fractions, 150 µg of mitochondria were pelleted at 20,000 g for 5 min at 4C in two separate tubes.
PXD064057	minor	characteristics[developmental stage]	'adult'x30	No age or life-stage statement appears anywhere in the bundle; 'adult' is unevidenced here.	PRIDE_KEYWORDS: ['Heart', 'Mus musculus', 'Mitochondria']
PXD064499	important	characteristics[sex]	'male'x108	'male' is asserted on all 108 rows, but no part of the evidence bundle (title, description, sample protocol, PRIDE attributes) mentions the sex of the donor mice and no publication is linked. The claim is unsupported.	Single cardiomyocytes have been isolated with a manual optimized procedure. For the manual isolation, briefly, cardiomyocytes obtained after Langendorff perfusion were individually checked under the scope and optical microscope and distributed in each well of a refrigerated 96 well plate.
PXD064499	minor	characteristics[material type]	'cell'x108	Rows are Langendorff-isolated single primary cardiomyocytes plus a 200-cell carrier channel; 'cell' is acceptable but the primary-cell nature (and the carrier being a pool of the same cells) is only recoverable from characteristics[sample type]/[cells per well].	cardiomyocytes obtained after Langendorff perfusion were individually checked under the scope and optical microscope and distributed in each well of a refrigerated 96 well plate.
PXD064583	minor	characteristics[developmental stage]	'adult'x120	'adult' is asserted on every row, but the deposit description states the 500-sample acquisition explicitly includes developmental samples. Without a run-to-sample key it cannot be shown that none of these 120 rows are developmental-stage animals.	Data-independent acquisition of 500 samples including developmental samples revealed the spatiotemporal profiles of 18,751 proteins, accounting for 73% of all proteins registered in UniProt.
PXD064583	minor	characteristics[disease]	'normal'x120	The study also profiles hPER2-S662G mutant mice (a genetic FASP model). Nothing in the bundle establishes that these 120 rows are all wild-type, so 'normal' on every row is unverified rather than demonstrated.	Notably, proteome analysis revealed global changes in protein phosphorylation status in hPER2-S662G mutant mice, a genetic model of human familial advanced sleep phase (FASP).
PXD065331	minor	characteristics[organism part]	'heart'x18	All samples are specifically left ventricular myocardium, stated unambiguously in the sample processing protocol; 'heart' is imprecise for every row.	Frozen left ventricular heart tissue samples were placed into precooled tubes and cryopulverized in a CP02 Automated Dry Pulverizer (Covaris, Woburn, MA, USA) with an impact level of 5
PXD066795	important	characteristics[disease]	'not available'x4	Every row is amyloid fibril material extracted from an atrial-fibrillation patient with isolated atrial amyloidosis - a uniform, explicitly stated diagnosis - yet disease is left blank on all 4 rows.	Here, we present the first high-resolution structural characterization of ANP fibrils extracted from AF patients, revealing two distinct fibril polymorphs.
PXD066926	minor	characteristics[age]	'not available'x90	Age is left blank on every row even though characteristics[phenotype] already spells out '3 months old', '12 months old' and '20 months old' per row, so a machine-readable per-row age (3M/12M/20M) is directly derivable from data already in the file.	This study establishes a spatially resolved quantitative proteomic atlas across multiple murine cardiac regions at three aging stages (3, 12, and 20 months).
PXD066926	minor	characteristics[organism part]	'heart'x90	This is a region-resolved atlas; the specific cardiac region (left/right atrium, left ventricle, etc.) is recorded only as free text inside characteristics[phenotype] and could be lifted into a per-row organism part.	Region-resolved proteomic analysis of mouse heart from different age groups
PXD067090	important	characteristics[organism part]	'Heart'x14	Every proteomics sample is specifically left ventricular tissue, stated explicitly in the methods; 'Heart' is imprecise on all rows (and is capitalised inconsistently with the rest of the corpus, which uses lowercase 'heart').	For proteomic analysis, left ventricular tissue was obtained from n = 11 WT, n = 11 α-MHC 719/+ , n = 4 α-MHC 719/+ + pio, and n = 6 α-MHC 719/+ + R-pio mice, with each sample derived from an individual heart.
PXD067090	minor	characteristics[disease]	'not available'x14	Left blank on all rows. This is honest rather than wrong (the deposit mixes WT controls with three alpha-MHC 719/+ arms), but note the row count (14) does not match the 32 animals the paper reports for proteomics (11 WT, 11 alpha-MHC 719/+, 4 +pio, 6 +R-pio), so the deposit-to-cohort mapping cannot be reconstructed from the bundle at all.	For proteomic analysis, left ventricular tissue was obtained from n = 11 WT, n = 11 α-MHC 719/+ , n = 4 α-MHC 719/+ + pio, and n = 6 α-MHC 719/+ + R-pio mice, with each sample derived from an individual heart.
PXD068793	minor	characteristics[organism part]	heart left ventricle	the cardiac rows are refined to 'heart left ventricle' but no text in the deposit, the PRIDE record (which says only 'Heart') or the abstract specifies which cardiac region was sampled; 'heart' is the supportable value	Proteomic profiling of 15 pharmaceutically relevant tissues revealed human orthologous drug metabolism enzymes and transporters (DMETs), as well as immune-related proteins, indicating similarities to human CYP450 enzyme abundance and tissue distribution.
PXD069823	blocker	characteristics[developmental stage]	embryo stage	'embryo stage' is asserted on all 72 rows, which are brain/heart/lung/liver sampled at circadian times CT2-CT22 - a free-running whole-animal protocol that cannot be performed on embryos; the deposit only says the 584-sample atlas *includes* developmental samples, and gives no evidence these 72 runs are among them	Data-independent acquisition of 584 samples including developmental samples revealed the spatiotemporal profiles of 18,956 proteins, accounting for 73.8% of all proteins registered in UniProt.
PXD070758	blocker	characteristics[disease]	normal	18 of 38 rows are labelled 'normal' (and factor value normal/PATO:0000461), but the control valves are not healthy - they were explanted from patients undergoing cardiac surgery for aortic valve insufficiency; the authors state explicitly that these are not healthy valves. The correct value for those rows is 'aortic valve insufficiency'	Although these samples do not represent healthy valves, they were selected as the most appropriate surgical comparator in the absence of calcific stenotic disease, also considering the distinct pathophysiological background of aortic insufficiency and calcific AS.
PXD072759	minor	characteristics[organism part]	Heart	the analysed material is not heart tissue but F4/80+ cardiac macrophages MACS-sorted from dissociated hearts and cultured in RPMI before lysis; 'heart' is acceptable as the source organ only if a cell type of macrophage is recorded alongside it	F4/80+ cells were isolated using a magnet following the manufacturer’s protocols. The cardiac macrophages were cultured in RPMI 1640 medium supplemented with 1% FBS.
PXD073246	blocker	characteristics[disease]	normal	27 of 57 rows are labelled 'normal' (and factor value normal/PATO:0000461), but the comparator valves come from patients operated for aortic valve insufficiency and are explicitly stated not to be healthy valves; the correct value for those rows is 'aortic valve insufficiency'	To investigate molecular alterations associated with AS, we included a control group of 9 non-calcific aortic valves obtained from patients undergoing cardiac surgery for aortic valve insufficiency.
PXD073686	blocker	characteristics[cell type]	0.4 mM Q / 1 mM Q / 4 mM Q	the cell type column holds the glutamine concentration of the culture medium, i.e. the experimental factor, not a cell type; the actual cell type is the pancreatic stellate cell	ECM deposited by pancreatic stellate cells (PSCs) in the presence of TGFb stimulation under 4, 1, or 0.4mM glutamine (Q) was profiled.
PXD073686	important	characteristics[disease]	Pancreatic cancer	'Pancreatic cancer' is asserted on all 9 rows although the analysed material is decellularised extracellular matrix deposited in vitro by TGFb-stimulated pancreatic stellate cells; nothing in the deposit says the cells or the matrix came from a tumour	ECMs were produced on 6 cm dishes, decellularized, scraped in PBS, and transferred into low-retention microcentrifuge tubes.
PXD073686	important	characteristics[cell line]	Pancreatic stellate cell	'Pancreatic stellate cell' is a cell type, not a named cell line; no cell line identifier is given anywhere in the deposit	ECM deposited by pancreatic stellate cells (PSCs) in the presence of TGFb stimulation under 4, 1, or 0.4mM glutamine (Q) was profiled.
PXD073686	minor	characteristics[organism part]	Extracellular matrix	extracellular matrix is a material/anatomical-structure term, not an organism part; the samples are cell-derived matrix from culture dishes rather than a dissected tissue	ECMs were produced on 6 cm dishes, decellularized, scraped in PBS, and transferred into low-retention microcentrifuge tubes.
PXD073863	minor	characteristics[organism part]	heart	every sample is explicitly left ventricle, so 'heart' is less specific than the evidence supports	Frozen left ventricle tissue samples were cryo-pulverized using the Covaris CP02 CryoPrep Pulverizer with an impact level of 1.
PXD075583	minor	characteristics[biological replicate]	1 on all 144 rows	the design is two genotypes x three BN-PAGE lanes x 24 gel slices; every row carrying biological replicate '1' hides the triplicate structure and conflates WT with KO lanes	Wild-type and Lrpprc knockout mitochondria purified from mouse heart was run on BN-PAGE in triplicate
PXD076291	blocker	characteristics[organism part]	heart	the deposited phosphoproteome was measured on the immortalised rat H9c2 cardiomyoblast line, not on heart tissue; 'heart' asserts a tissue the deposit never sampled	Proteins were extracted from H9c2 cells and quantified using a bicinchoninic acid (BCA) assay.
PXD076291	important	characteristics[cell type]	absent	material type / cell line is unrecorded, so a cultured cell-line experiment is indistinguishable from tissue in this SDRF; should carry cell line H9c2 (rat cardiomyoblast)	For the in vitro model, rat cardiomyoblast H9c2 cells (Procell Life Science, Wuhan, China) were cultured in Dulbecco's Modified Eagle Medium (DMEM) supplemented with 10% fetal bovine serum (FBS).
PXD077277	important	characteristics[cell type]	cardiac muscle cell	asserted on all 32 rows although the only material description is excised gel bands (a TOP2B/SMYD1 gel-band identification searched against mouse TOP2B); nothing in title, description or protocol says isolated cardiomyocytes were the input, so this value rests solely on the submitter's PRIDE dropdown	For the protein digestion, 30 samples were cut from the gel, and the bands were then washed/destained in 50% ethanol, 5% acetic acid and then dehydrated in acetonitrile.
PXD077277	minor	row count	32 rows	the protocol accounts for 30 gel bands while the SDRF carries 32 rows; the extra runs are unexplained by the evidence	For the protein digestion, 30 samples were cut from the gel, and the bands were then washed/destained in 50% ethanol, 5% acetic acid and then dehydrated in acetonitrile.
PXD079292	minor	characteristics[developmental stage]	adult	plausible for a septal-myectomy cohort but not stated anywhere in the evidence; the bundle only says 'patients', with no age or adult/paediatric statement	Myocardial tissue samples were obtained from patients undergoing septal myectomy, and protein abundance profiles were generated using data-independent acquisition liquid chromatography-tandem mass spectrometry.
PXD082534	important	characteristics[disease]	not available	every deposited sample is myocardium from a severe heart-failure patient receiving an LVAD (pre-implant apex or explanted heart at transplant); 'not available' understates a uniform, well-evidenced diagnosis	Heart failure is a leading cause of death worldwide, and patients with severe heart failure require left ventricular assist device (LVAD) support.
PXD082534	minor	characteristics[biological replicate]	1 on all 38 rows	the 38 runs are distinct patient samples from 24 individuals (14 BTT x 2 timepoints + 10 BTR), not 38 replicates of one biological source	Samples from BTT were collected at both LVAD implantation (pre-LVAD) and heart transplantation (post-LVAD), whereas BTR samples were collected only at LVAD implantation.
