source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[organism part]
AB_brain_VS175	NT=Danio rerio;AC=NCBITaxon:7955	NT=brain;AC=UBERON:0000955	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	not available	AB	tissue	1	vstutz_L180202_DDA_029	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	25 ppm	0.05 Da	5	1	vstutz_L180202_DDA_029.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955
AB_brain_VS176	NT=Danio rerio;AC=NCBITaxon:7955	NT=brain;AC=UBERON:0000955	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	not available	AB	tissue	1	vstutz_L180202_DDA_030	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	25 ppm	0.05 Da	6	1	vstutz_L180202_DDA_030.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955
AB_brain_VS177	NT=Danio rerio;AC=NCBITaxon:7955	NT=brain;AC=UBERON:0000955	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	not available	AB	tissue	1	vstutz_L180202_DDA_031	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	25 ppm	0.05 Da	7	1	vstutz_L180202_DDA_031.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955
AB_brain_VS178	NT=Danio rerio;AC=NCBITaxon:7955	NT=brain;AC=UBERON:0000955	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	not available	AB	tissue	1	vstutz_L180202_DDA_032	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	25 ppm	0.05 Da	8	1	vstutz_L180202_DDA_032.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955
AB_testis_VS179	NT=Danio rerio;AC=NCBITaxon:7955	NT=testis;AC=UBERON:0000473	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	male	AB	tissue	1	vstutz_L180202_DDA_033	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	25 ppm	0.05 Da	1	1	vstutz_L180202_DDA_033.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=testis;AC=UBERON:0000473
AB_testis_VS180	NT=Danio rerio;AC=NCBITaxon:7955	NT=testis;AC=UBERON:0000473	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	male	AB	tissue	1	vstutz_L180202_DDA_034	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	25 ppm	0.05 Da	2	1	vstutz_L180202_DDA_034.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=testis;AC=UBERON:0000473
AB_testis_VS181	NT=Danio rerio;AC=NCBITaxon:7955	NT=testis;AC=UBERON:0000473	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	male	AB	tissue	1	vstutz_L180202_DDA_035	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	25 ppm	0.05 Da	3	1	vstutz_L180202_DDA_035.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=testis;AC=UBERON:0000473
AB_testis_VS182	NT=Danio rerio;AC=NCBITaxon:7955	NT=testis;AC=UBERON:0000473	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	male	AB	tissue	1	vstutz_L180202_DDA_036	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	25 ppm	0.05 Da	4	1	vstutz_L180202_DDA_036.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=testis;AC=UBERON:0000473
AB_testis_VS183	NT=Danio rerio;AC=NCBITaxon:7955	NT=testis;AC=UBERON:0000473	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	male	AB	tissue	1	vstutz_L180202_DDA_037	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	25 ppm	0.05 Da	5	1	vstutz_L180202_DDA_037.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=testis;AC=UBERON:0000473
AB_testis_VS184	NT=Danio rerio;AC=NCBITaxon:7955	NT=testis;AC=UBERON:0000473	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	male	AB	tissue	1	vstutz_L180202_DDA_038	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	25 ppm	0.05 Da	6	1	vstutz_L180202_DDA_038.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=testis;AC=UBERON:0000473
AB_testis_VS185	NT=Danio rerio;AC=NCBITaxon:7955	NT=testis;AC=UBERON:0000473	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	male	AB	tissue	1	vstutz_L180202_DDA_039	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	25 ppm	0.05 Da	7	1	vstutz_L180202_DDA_039.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=testis;AC=UBERON:0000473
AB_testis_VS186	NT=Danio rerio;AC=NCBITaxon:7955	NT=testis;AC=UBERON:0000473	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	male	AB	tissue	1	vstutz_L180202_DDA_040	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	25 ppm	0.05 Da	8	1	vstutz_L180202_DDA_040.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=testis;AC=UBERON:0000473
AB_ovary_VS187	NT=Danio rerio;AC=NCBITaxon:7955	NT=ovary;AC=UBERON:0000992	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	female	AB	tissue	1	vstutz_L180202_DDA_041	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	25 ppm	0.05 Da	1	1	vstutz_L180202_DDA_041.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=ovary;AC=UBERON:0000992
AB_ovary_VS188	NT=Danio rerio;AC=NCBITaxon:7955	NT=ovary;AC=UBERON:0000992	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	female	AB	tissue	1	vstutz_L180202_DDA_042	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	25 ppm	0.05 Da	2	1	vstutz_L180202_DDA_042.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=ovary;AC=UBERON:0000992
AB_ovary_VS189	NT=Danio rerio;AC=NCBITaxon:7955	NT=ovary;AC=UBERON:0000992	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	female	AB	tissue	1	vstutz_L180202_DDA_043	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	25 ppm	0.05 Da	3	1	vstutz_L180202_DDA_043.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=ovary;AC=UBERON:0000992
AB_ovary_VS190	NT=Danio rerio;AC=NCBITaxon:7955	NT=ovary;AC=UBERON:0000992	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	female	AB	tissue	1	vstutz_L180202_DDA_044b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	25 ppm	0.05 Da	4	1	vstutz_L180202_DDA_044b.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=ovary;AC=UBERON:0000992
AB_ovary_VS191	NT=Danio rerio;AC=NCBITaxon:7955	NT=ovary;AC=UBERON:0000992	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	female	AB	tissue	1	vstutz_L180202_DDA_045	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	25 ppm	0.05 Da	5	1	vstutz_L180202_DDA_045.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=ovary;AC=UBERON:0000992
AB_ovary_VS192	NT=Danio rerio;AC=NCBITaxon:7955	NT=ovary;AC=UBERON:0000992	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	female	AB	tissue	1	vstutz_L180202_DDA_046	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	25 ppm	0.05 Da	6	1	vstutz_L180202_DDA_046.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=ovary;AC=UBERON:0000992
AB_ovary_VS193	NT=Danio rerio;AC=NCBITaxon:7955	NT=ovary;AC=UBERON:0000992	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	female	AB	tissue	1	vstutz_L180202_DDA_047	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	25 ppm	0.05 Da	7	1	vstutz_L180202_DDA_047.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=ovary;AC=UBERON:0000992
AB_ovary_VS194	NT=Danio rerio;AC=NCBITaxon:7955	NT=ovary;AC=UBERON:0000992	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	female	AB	tissue	1	vstutz_L180202_DDA_048	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	25 ppm	0.05 Da	8	1	vstutz_L180202_DDA_048.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=ovary;AC=UBERON:0000992
AB_intestine_VS195	NT=Danio rerio;AC=NCBITaxon:7955	NT=intestine;AC=UBERON:0000160	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	not available	AB	tissue	1	vstutz_L180202_DDA_049	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	25 ppm	0.05 Da	1	1	vstutz_L180202_DDA_049.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=intestine;AC=UBERON:0000160
AB_intestine_VS196	NT=Danio rerio;AC=NCBITaxon:7955	NT=intestine;AC=UBERON:0000160	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	not available	AB	tissue	1	vstutz_L180202_DDA_050b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	25 ppm	0.05 Da	2	1	vstutz_L180202_DDA_050b.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=intestine;AC=UBERON:0000160
AB_intestine_VS198	NT=Danio rerio;AC=NCBITaxon:7955	NT=intestine;AC=UBERON:0000160	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	not available	AB	tissue	1	vstutz_L180202_DDA_052	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	25 ppm	0.05 Da	4	1	vstutz_L180202_DDA_052.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=intestine;AC=UBERON:0000160
AB_intestine_VS199	NT=Danio rerio;AC=NCBITaxon:7955	NT=intestine;AC=UBERON:0000160	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	not available	AB	tissue	1	vstutz_L180202_DDA_053	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	25 ppm	0.05 Da	5	1	vstutz_L180202_DDA_053.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=intestine;AC=UBERON:0000160
AB_intestine_VS200	NT=Danio rerio;AC=NCBITaxon:7955	NT=intestine;AC=UBERON:0000160	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	not available	AB	tissue	1	vstutz_L180202_DDA_054	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	25 ppm	0.05 Da	6	1	vstutz_L180202_DDA_054.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=intestine;AC=UBERON:0000160
AB_intestine_VS201	NT=Danio rerio;AC=NCBITaxon:7955	NT=intestine;AC=UBERON:0000160	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	not available	AB	tissue	1	vstutz_L180202_DDA_055	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	25 ppm	0.05 Da	7	1	vstutz_L180202_DDA_055.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=intestine;AC=UBERON:0000160
AB_intestine_VS202	NT=Danio rerio;AC=NCBITaxon:7955	NT=intestine;AC=UBERON:0000160	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	not available	AB	tissue	1	vstutz_L180202_DDA_056	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	25 ppm	0.05 Da	8	1	vstutz_L180202_DDA_056.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=intestine;AC=UBERON:0000160
AB_eye_VS203	NT=Danio rerio;AC=NCBITaxon:7955	NT=eye;AC=UBERON:0000970	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	not available	AB	tissue	1	vstutz_L180314_DDA_057	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	25 ppm	0.05 Da	1	1	vstutz_L180314_DDA_057.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=eye;AC=UBERON:0000970
